Category,Keyword,Clue 1,Clue 2,Clue 3
மூன்றெழுத்து,அம்பு,வில்,எய்,கூர்மை
மூன்றெழுத்து,அரசி,ராணி,ராஜா,கிரீடம்
மூன்றெழுத்து,அரிசி,நெல்,சோறு,தானியம்
மூன்றெழுத்து,அரிமா,சிங்கம்,காடு,கர்ஜனை
மூன்றெழுத்து,அருவி,நீர்வீழ்ச்சி,மலை,தண்ணீர்
மூன்றெழுத்து,அன்பு,பாசம்,நேசம்,காதல்
மூன்றெழுத்து,அன்னை,தாய்,அம்மா,பெற்றோர்
மூன்றெழுத்து,அனல்,வெப்பம்,சூடு,நெருப்பு
மூன்றெழுத்து,ஆண்டு,வருடம்,மாதம்,நாள்
மூன்றெழுத்து,ஆவணி,மாதம்,தமிழ்,ஐந்தாம்
மூன்றெழுத்து,இரவு,பகல்,இருள்,நிலா
மூன்றெழுத்து,ஈட்டி,வேல்,ஆயுதம்,திரிசூலம்
மூன்றெழுத்து,உண்மை,பொய்,மெய்,சத்தியம்
மூன்றெழுத்து,உரிமை,கடமை,சுதந்திரம்,தகுதி
மூன்றெழுத்து,உதவி,சகாயம்,ஆதரவு,கைம்மாறு
மூன்றெழுத்து,ஐயம்,சந்தேகம்,தெளிவு,கேள்வி
மூன்றெழுத்து,ஓய்வு,உழைப்பு,இளைப்பாறு,விடுமுறை
மூன்றெழுத்து,கடல்,சமுத்திரம்,அலை,கப்பல்
மூன்றெழுத்து,கபடி,விளையாட்டு,ஆட்டம்,குழு
மூன்றெழுத்து,கயிறு,வடம்,கட்டு,இழு
மூன்றெழுத்து,கரம்,கை,விரல்,உள்ளங்கை
மூன்றெழுத்து,கருவி,சாதனம்,உபகரணம்,ஆயுதம்
மூன்றெழுத்து,கல்வி,படிப்பு,ஞானம்,பள்ளி
மூன்றெழுத்து,கவலை,துக்கம்,மகிழ்ச்சி,துன்பம்
மூன்றெழுத்து,கனவு,நிஜம்,உறக்கம்,கற்பனை
மூன்றெழுத்து,கிணறு,கேணி,தண்ணீர்,ஆழம்
மூன்றெழுத்து,காகம்,காக்கை,பறவை,கரைதல்
மூன்றெழுத்து,காலம்,நேரம்,பருவம்,வினாடி
மூன்றெழுத்து,காவிரி,ஆறு,நதி,தண்ணீர்
மூன்றெழுத்து,கிருமி,நுண்ணுயிர்,தோற்று,நோய்
மூன்றெழுத்து,குணம்,பண்பு,இயல்பு,நடத்தை
மூன்றெழுத்து,குருவி,சிட்டு,பறவை,கூடு
மூன்றெழுத்து,குளம்,ஏரி,நீர்நிலை,தாமரை
மூன்றெழுத்து,கேள்வி,பதில்,வினா,விசாரணை
மூன்றெழுத்து,கொள்கை,கோட்பாடு,தத்துவம்,விதி
மூன்றெழுத்து,கோட்டை,அரண்,மதில்,பாதுகாப்பு
மூன்றெழுத்து,கோயில்,ஆலயம்,தேவாலயம்,வழிபாடு
மூன்றெழுத்து,சட்டை,உடை,ஆடை,துணி
மூன்றெழுத்து,சாட்டை,அடி,கசை,வண்டி
மூன்றெழுத்து,சாதம்,சோறு,அன்னம்,உணவு
மூன்றெழுத்து,சிற்பி,சிலை,செதுக்கு,உளி
மூன்றெழுத்து,ஞாயிறு,சூரியன்,கிழமை,பகல்
மூன்றெழுத்து,தந்தை,அப்பா,பெற்றோர்,மகன்
மூன்றெழுத்து,தவம்,யோகம்,முனிவர்,வரம்
மூன்றெழுத்து,தவளை,நுணல்,நிலம்,தாவும்
மூன்றெழுத்து,தவறு,சரி,பிழை,குற்றம்
மூன்றெழுத்து,தாமரை,மலர்,குளம்,இலை
மூன்றெழுத்து,தேசம்,நாடு,தேசபக்தி,குடிமகன்
மூன்றெழுத்து,தேர்வு,பரீட்சை,வெற்றி,தோல்வி
மூன்றெழுத்து,தோல்வி,வெற்றி,பின்னடைவு,ஏமாற்றம்
மூன்றெழுத்து,நகம்,விரல்,கை,கால்
மூன்றெழுத்து,நன்றி,உபகாரம்,பாராட்டு,செய்நன்றி
மூன்றெழுத்து,நாகம்,பாம்பு,சர்ப்பம்,விஷம்
மூன்றெழுத்து,நிலவு,சந்திரன்,இரவு,வெளிச்சம்
மூன்றெழுத்து,நிழல்,வெயில்,மரம்,உருவம்
மூன்றெழுத்து,நீராவி,ஆவி,வெப்பம்,கொதி
மூன்றெழுத்து,பகல்,இரவு,வெளிச்சம்,காலை
மூன்றெழுத்து,பல்லி,ஊர்வன,சுவர்,பூச்சி
மூன்றெழுத்து,பட்டு,ஆடை,துணி,மென்மை
மூன்றெழுத்து,படம்,திரைப்படம்,ஓவியம்,புகைப்படம்
மூன்றெழுத்து,பணம்,காசு,ரூபாய்,செல்வம்
மூன்றெழுத்து,பணிவு,அடக்கம்,எளிமை,மரியாதை
மூன்றெழுத்து,பதவி,வேலை,அதிகாரம்,பொறுப்பு
மூன்றெழுத்து,பள்ளி,கல்வி,மாணவர்,ஆசிரியர்
மூன்றெழுத்து,பதில்,கேள்வி,விடை,மறுமொழி
மூன்றெழுத்து,பரிசு,அன்பளிப்பு,வெகுமதி,போட்டி
மூன்றெழுத்து,பறவை,சிறகு,கூடு,வானம்
மூன்றெழுத்து,பாரம்,எடை,கனம்,சுமை
மூன்றெழுத்து,பாலம்,இணைப்பு,ஆறு,கடந்துசெல்
மூன்றெழுத்து,புகழ்,பெருமை,கீர்த்தி,அவமானம்
மூன்றெழுத்து,புதன்,கோள்,அறிவன்,புத்தி
மூன்றெழுத்து,புரவி,குதிரை,பந்தயம்,சவாரி
மூன்றெழுத்து,பெருமை,கர்வம்,புகழ்,சிறுமை
மூன்றெழுத்து,பேச்சு,வார்த்தை,மொழி,உரையாடல்
மூன்றெழுத்து,பொறுமை,சகிப்புத்தன்மை,அவசரம்,அமைதி
மூன்றெழுத்து,போட்டி,பந்தயம்,விளையாட்டு,ஜெயித்தல்
மூன்றெழுத்து,மதில்,சுவர்,கோட்டை,பாதுகாப்பு
மூன்றெழுத்து,மலர்,பூ,செடி,மணம்
மூன்றெழுத்து,மலிவு,விலை,குறைவு,அதிகம்
மூன்றெழுத்து,மணல்,கடற்கரை,வீடு,பாலைவனம்
மூன்றெழுத்து,மாளிகை,அரண்மனை,வீடு,பெரிய
மூன்றெழுத்து,மூலிகை,செடி,மருந்து,வேர்
மூன்றெழுத்து,வண்டி,வாகனம்,சக்கரம்,பயணம்
மூன்றெழுத்து,வண்டு,பூச்சி,தேனீ,ரீங்காரம்
மூன்றெழுத்து,வறுமை,ஏழ்மை,செல்வம்,பசி
மூன்றெழுத்து,வாடகை,குடியிருப்பு,பணம்,ஒப்பந்தம்
மூன்றெழுத்து,வாரம்,கிழமை,மாதம்,ஏழு
மூன்றெழுத்து,வாய்மை,உண்மை,பொய்,சத்தியம்
மூன்றெழுத்து,வானம்,ஆகாயம்,மேகம்,நீலம்
மூன்றெழுத்து,வெண்மை,கருமை,நிறம்,தூய்மை
மூன்றெழுத்து,வெள்ளி,உலோகம்,கிழமை,பளபளப்பு
மூன்றெழுத்து,வெற்றி,தோல்வி,சாதனை,மகிழ்ச்சி
மூன்றெழுத்து,வேங்கை,புலி,விலங்கு,காடு
மூன்றெழுத்து,வேடன்,வேட்டை,காடு,விலங்கு
நான்கெழுத்து,அங்காடி,கடை,சந்தை,வணிகம்
நான்கெழுத்து,அச்சம்,பயம்,தைரியம்,திகில்
நான்கெழுத்து,அரசன்,ராஜா,மன்னன்,ஆளுநர்
நான்கெழுத்து,அறிஞர்,புலவர்,ஞானி,மேதை
நான்கெழுத்து,அறுவடை,விவசாயம்,நெல்,விளைச்சல்
நான்கெழுத்து,ஆசிரியை,ஆசிரியர்,மாணவர்,பாடம்
நான்கெழுத்து,ஆடவர்,ஆண்கள்,பெண்கள்,மனிதர்
நான்கெழுத்து,ஆபத்து,அபாயம்,பாதுகாப்பு,எச்சரிக்கை
நான்கெழுத்து,ஆயிரம்,நூறு,லட்சம்,எண்
நான்கெழுத்து,இயற்கை,செயற்கை,காடு,செடி
நான்கெழுத்து,இளைஞர்,வாலிபர்,முதியவர்,இளமை
நான்கெழுத்து,உலகம்,பூமி,நாடு,மக்கள்
நான்கெழுத்து,உலோகம்,தங்கம்,இரும்பு,வெள்ளி
நான்கெழுத்து,ஊதியம்,சம்பளம்,வருமானம்,வேலை
நான்கெழுத்து,ஊறுகாய்,புளிப்பு,உணவு,சுவை
நான்கெழுத்து,எண்ணம்,சிந்தனை,கருத்து,நினைவு
நான்கெழுத்து,எரிமலை,நெருப்பு,சீற்றம்,குழம்பு
நான்கெழுத்து,ஏராளம்,அதிகம்,நிறைய,குறைவு
நான்கெழுத்து,ஓவியம்,சித்திரம்,வரைதல்,கலை
நான்கெழுத்து,கட்டளை,ஆணை,உத்தரவு,அதிகாரம்
நான்கெழுத்து,கட்டுரை,எழுத்து,பத்தி,வாக்கியம்
நான்கெழுத்து,கண்ணீர்,அழுகை,சோகம்,துளி
நான்கெழுத்து,கணிதம்,கணக்கு,எண்,கூட்டல்
நான்கெழுத்து,கல்லணை,அணை,ஆறு,நீர்
நான்கெழுத்து,களிமண்,மண்,பானை,சிற்பம்
நான்கெழுத்து,காரியம்,செயல்,வேலை,நோக்கம்
நான்கெழுத்து,கால்நடை,மாடு,ஆடு,விலங்கு
நான்கெழுத்து,கிராமம்,ஊர்,நகரம்,மக்கள்
நான்கெழுத்து,கூட்டம்,நெரிசல்,மக்கள்,தனிமை
நான்கெழுத்து,கூட்டல்,கழித்தல்,கணிதம்,எண்
நான்கெழுத்து,கூந்தல்,முடி,தலை,அழகு
நான்கெழுத்து,கொண்டாடு,விழா,மகிழ்ச்சி,கொண்டாட்டம்
நான்கெழுத்து,கோபுரம்,கோயில்,உயரம்,வாசல்
நான்கெழுத்து,கோரிக்கை,வேண்டுகோள்,விண்ணப்பம்,மனு
நான்கெழுத்து,சட்டம்,விதி,ஒழுங்கு,நீதி
நான்கெழுத்து,சகோதரி,அக்கா,தங்கை,உடன்பிறப்பு
நான்கெழுத்து,சமூகம்,மக்கள்,சமுதாயம்,நாகரிகம்
நான்கெழுத்து,சிரமம்,கடினம்,எளிது,கஷ்டம்
நான்கெழுத்து,சிறப்பு,பொது,முக்கியத்துவம்,தனித்துவம்
நான்கெழுத்து,சுற்றுலா,பயணம்,பிரயாணம்,சுற்றிப்பார்
நான்கெழுத்து,சூழ்நிலை,நிலைமை,சூழல்,சந்தர்ப்பம்
நான்கெழுத்து,செயற்கை,இயற்கை,மனிதனால்,உருவாக்கப்பட்ட
நான்கெழுத்து,செல்வம்,வளம்,பணம்,சொத்து
நான்கெழுத்து,தண்டனை,அபராதம்,குற்றம்,சிறை
நான்கெழுத்து,தண்ணீர்,நீர்,பருகு,அத்தியாவசியம்
நான்கெழுத்து,தலைவர்,வழிகாட்டி,தலைமை,நிர்வாகி
நான்கெழுத்து,திருவிழா,கொண்டாட்டம்,பண்டிகை,கூட்டம்
நான்கெழுத்து,தெய்வம்,கடவுள்,இறைவன்,சக்தி
நான்கெழுத்து,தேர்தல்,வாக்கு,ஜனநாயகம்,பிரதிநிதி
நான்கெழுத்து,தொண்ணூறு,எண்,நூறு,பத்தொன்பது
நான்கெழுத்து,நகரம்,மாநகரம்,பட்டணம்,கிராமம்
நான்கெழுத்து,நடனம்,ஆட்டம்,இசை,கலை
நான்கெழுத்து,நரகம்,சொர்க்கம்,பாவம்,தண்டனை
நான்கெழுத்து,நாடகம்,நடிப்பு,மேடை,கதை
நான்கெழுத்து,நெருப்பு,தீ,சூடு,எரி
நான்கெழுத்து,நூலகம்,புத்தகம்,வாசிப்பு,அறிவு
நான்கெழுத்து,பண்பாடு,கலாச்சாரம்,நாகரிகம்,பாரம்பரியம்
நான்கெழுத்து,பயணம்,பிரயாணம்,செலவு,அனுபவம்
நான்கெழுத்து,பயிற்சி,பழக்கம்,கற்றல்,திறமை
நான்கெழுத்து,பாடகர்,இசை,பாட்டு,குரல்
நான்கெழுத்து,பாராட்டு,வாழ்த்து,மரியாதை,புகழ்ச்சி
நான்கெழுத்து,புன்னகை,சிரிப்பு,மகிழ்ச்சி,முகம்
நான்கெழுத்து,பொங்கல்,பண்டிகை,அறுவடை,சூரியன்
நான்கெழுத்து,மகளிர்,பெண்கள்,தாய்,சகோதரி
நான்கெழுத்து,மகுடம்,கிரீடம்,அரசன்,அதிகாரம்
நான்கெழுத்து,மஞ்சள்,நிறம்,மங்கலம்,கிழங்கு
நான்கெழுத்து,மந்திரி,அமைச்சர்,அரசு,ஆலோசனை
நான்கெழுத்து,மரியாதை,மதிப்பு,வணக்கம்,பண்பு
நான்கெழுத்து,மன்னன்,அரசன்,ராஜா,ஆட்சி
நான்கெழுத்து,மாநிலம்,தேசம்,அரசு,நிர்வாகம்
நான்கெழுத்து,மிருகம்,விலங்கு,காடு,பிராணி
நான்கெழுத்து,மூங்கில்,மரம்,புல்,குழாய்
நான்கெழுத்து,யுத்தம்,போர்,சண்டை,அமைதி
நான்கெழுத்து,வகுப்பு,பாடம்,மாணவர்,அறை
நான்கெழுத்து,வரலாறு,சரித்திரம்,கடந்தகாலம்,நிகழ்வு
நான்கெழுத்து,வருடம்,ஆண்டு,மாதம்,நாள்
நான்கெழுத்து,விஞ்ஞானி,அறிவியல்,கண்டுபிடிப்பு,ஆராய்ச்சி
நான்கெழுத்து,விமானம்,வானூர்தி,பற,ஆகாயம்
நான்கெழுத்து,வியப்பு,ஆச்சரியம்,அதிசயம்,திகைப்பு
நான்கெழுத்து,விளக்கு,ஒளி,தீபம்,வெளிச்சம்
நான்கெழுத்து,விவசாயி,உழவன்,நிலம்,பயிர்
ஐந்தெழுத்து,அடிப்படை,ஆதாரம்,மூலம்,தொடக்கம்
ஐந்தெழுத்து,அடையாளம்,சான்று,குறி,தனித்துவம்
ஐந்தெழுத்து,அச்சகம்,அச்சு,புத்தகம்,இயந்திரம்
ஐந்தெழுத்து,அதிகாரம்,ஆட்சி,உரிமை,சக்தி
ஐந்தெழுத்து,அதிர்ச்சி,திகைப்பு,நடுக்கம்,எதிர்பாராத
ஐந்தெழுத்து,அமைச்சர்,மந்திரி,அரசு,துறை
ஐந்தெழுத்து,அரசியல்,அரசாங்கம்,கொள்கை,கட்சி
ஐந்தெழுத்து,அரண்மனை,மாளிகை,ராஜா,ராணி
ஐந்தெழுத்து,அறிவிப்பு,செய்தி,தகவல்,விளம்பரம்
ஐந்தெழுத்து,அறிவியல்,விஞ்ஞானம்,ஆராய்ச்சி,அறிவு
ஐந்தெழுத்து,அனுபவம்,பட்டறிவு,உணர்வு,நிகழ்வு
ஐந்தெழுத்து,அவசரம்,விரைவு,தாமதம்,முக்கியம்
ஐந்தெழுத்து,அவமானம்,இழிவு,மரியாதை,பழி
ஐந்தெழுத்து,ஆத்திரம்,கோபம்,சினம்,வெறுப்பு
ஐந்தெழுத்து,ஆராய்ச்சி,ஆய்வு,தேடல்,கண்டுபிடிப்பு
ஐந்தெழுத்து,இயக்கம்,அசைவு,செயல்பாடு,குழு
ஐந்தெழுத்து,உதாரணம்,எடுத்துக்காட்டு,மாதிரி,விளக்கம்
ஐந்தெழுத்து,உரையாடல்,பேச்சு,சம்பாஷணை,கலந்துரையாடல்
ஐந்தெழுத்து,உறக்கம்,தூக்கம்,ஓய்வு,கனவு
ஐந்தெழுத்து,உறுதிமொழி,சத்தியம்,வாக்குறுதி,சபதம்
ஐந்தெழுத்து,ஏற்றுமதி,இறக்குமதி,வணிகம்,வெளிநாடு
ஐந்தெழுத்து,கடற்கரை,ஓரம்,மணல்,அலை
ஐந்தெழுத்து,கதாநாயகி,நடிகை,திரைப்படம்,முக்கிய பாத்திரம்
ஐந்தெழுத்து,கம்பளம்,விரிப்பு,தரை,மென்மை
ஐந்தெழுத்து,கரிகாலன்,சோழன்,மன்னன்,கல்லணை
ஐந்தெழுத்து,கல்வெட்டு,பாறை,எழுத்து,சரித்திரம்
ஐந்தெழுத்து,கற்கண்டு,சர்க்கரை,இனிப்பு,வெள்ளை
ஐந்தெழுத்து,காப்பியம்,இலக்கியம்,கதை,புராணம்
ஐந்தெழுத்து,குற்றவாளி,குற்றம்,நிரபராதி,தண்டனை
ஐந்தெழுத்து,கைப்பற்று,பிடி,ஆக்கிரமி,வெற்றி
ஐந்தெழுத்து,கைவிலங்கு,சங்கிலி,கட்டு,சிறை
ஐந்தெழுத்து,சகோதரன்,அண்ணன்,தம்பி,உடன்பிறப்பு
ஐந்தெழுத்து,சம்பளம்,ஊதியம்,வருமானம்,வேலை
ஐந்தெழுத்து,சமாதானம்,அமைதி,போர்,ஒப்பந்தம்
ஐந்தெழுத்து,சிநேகிதன்,நண்பன்,தோழன்,நட்பு
ஐந்தெழுத்து,சித்திரம்,ஓவியம்,வரைபடம்,கலை
ஐந்தெழுத்து,சுகாதாரம்,ஆரோக்கியம்,தூய்மை,நல்வாழ்வு
ஐந்தெழுத்து,செல்வாக்கு,ஆதிக்கம்,மதிப்பு,சக்தி
ஐந்தெழுத்து,சொர்க்கம்,மோட்சம்,நரகம்,இன்பம்
ஐந்தெழுத்து,தஞ்சாவூர்,சோழநாடு,கோயில்,ஓவியம்
ஐந்தெழுத்து,தமிழகம்,மாநிலம்,தென்னிந்தியா,சென்னை
ஐந்தெழுத்து,தயாரிப்பு,உற்பத்தி,உருவாக்கம்,பொருள்
ஐந்தெழுத்து,தன்னலம்,சுயநலம்,பொதுநலம்,அகந்தை
ஐந்தெழுத்து,திருமணம்,கல்யாணம்,மணமக்கள்,உறவு
ஐந்தெழுத்து,துறைமுகம்,கப்பல்,ஏற்றுமதி,இறக்குமதி
ஐந்தெழுத்து,தென்மேற்கு,திசை,தெற்கு,மேற்கு
ஐந்தெழுத்து,தொழிற்சாலை,ஆலை,உற்பத்தி,இயந்திரம்
ஐந்தெழுத்து,நம்பிக்கை,பற்று,உறுதி,திண்ணம்
ஐந்தெழுத்து,நிகழ்ச்சி,நிகழ்வு,விழா,ஏற்பாடு
ஐந்தெழுத்து,நிபந்தனை,கட்டுப்பாடு,விதி,ஒப்பந்தம்
ஐந்தெழுத்து,நிறுவனம்,அமைப்பு,கம்பெனி,தொழில்
ஐந்தெழுத்து,பரிந்துரை,சிபாரிசு,ஆலோசனை,ஆதரவு
ஐந்தெழுத்து,பலகாரம்,தின்பண்டம்,உணவு,இனிப்பு
ஐந்தெழுத்து,பரம்பரை,தலைமுறை,பாரம்பரியம்,மூதாதையர்
ஐந்தெழுத்து,பாரதியார்,கவிஞர்,தேசபக்தி,விடுதலை
ஐந்தெழுத்து,பிரதமர்,முதன்மை,அமைச்சர்,அரசு
ஐந்தெழுத்து,பின்விளைவு,விளைவு,முடிவு,பாதிப்பு
ஐந்தெழுத்து,புத்தகம்,நூல்,வாசிப்பு,அறிவு
ஐந்தெழுத்து,புத்தாண்டு,புது வருடம்,கொண்டாட்டம்,தொடக்கம்
ஐந்தெழுத்து,போராட்டம்,சண்டை,எதிர்ப்பு,முயற்சி
ஐந்தெழுத்து,மகிழ்ச்சி,சந்தோஷம்,இன்பம்,துக்கம்
ஐந்தெழுத்து,மதிப்பெண்,புள்ளி,தேர்வு,தரம்
